folder,ENSEIGNE,ville,adresse,CP,ADRESSE ,VILLE,ADRESSE,siret
PETIT BOUILLON VAVIN (Le) - 75006 PARIS - 119 Bld du MONTPARNASSE,LE_PETIT_BOUILLON_VAVIN,PARIS,,75006.0,,,,87990983600030
PETIT LUX - 75006 PARIS - 29 Rue de VAUGIRARD,LE_PETIT_LUX,PARIS,,75006.0,,,,34326695300029
PETIT MARGUERY (Au) - 75013 PARIS - 9 Bld de PORT-ROYAL,AU_PETIT_MARGUERY,,,,,,,49989893000023
PETIT VENDOME,LE_PETIT_VENDOME,,,,8 RUE DES CAPUCINES,PARIS,8 RUE DES CAPUCINES; 75002 PARIS,73200243100011
PETITES CANAILLES - 92300 LEVALLOIS - 6 place du 11 novembre,LES_PETITES_CANAILLES,LEVALLOIS,,92300.0,6 PLACE DU 11 NOVEMBRE 1918,LEVALLOIS-PERRET,6 PLACE DU 11 NOVEMBRE 1918; 92300 LEVALLOIS-PERRET,88148388700017
PINOCCHIO (LE) - 19 Bld Edgar QUINET - 75014 PARIS,LES_TELEPHONES,,,,,PARIS,19 Bld Edgar QUINET,90950914300022
PIPPA - 92800 PUTEAUX - 2 RUE ANATOLE FRANCE,PIPPA,PUTEAUX,,92800.0,,,,85364205600024
PLACE (La)- 92500 RUEIL-MALMAISON - 16 Place des IMPRESSIONNISTES,O_FIL_DE_L_O,,,,5 PLACE DU MARÉCHAL JUIN,PARIS,5 PLACE DU MARÉCHAL JUIN; 75017 PARIS,44364587400035
PORTE MONTMARTRE (La) - 75018 PARIS - 87 Bld NEY,CAFE_DE_LA_PORTE_DE_MONTMARTRE,PARIS,,75018.0,,,,80363027600019
POULE AU POT,LA_POULE_AU_POT,,,,,,,83374333900016
PREVOYANT (Le) - 75010 PARIS - 79 bd de MAGENTA,LE_PREVOYANT,PARIS,,75010.0,79 BOULEVARD DE MAGENTA,PARIS,79 BOULEVARD DE MAGENTA; 75010 PARIS,52171727200012
RALLYE PASSY - 75016 PARIS - 34 Rue de l'ANNONCIATION,LE_RALLYE_PASSY,PARIS,,75016.0,,,,48747486800022
RECAMIER,LE_RECAMIER,,,,7 RUE RÉCAMIER,PARIS,7 RUE RÉCAMIER; 75007 PARIS,48112342000012
RICHER (Le) - 75009 PARIS - 1 Rue RICHER,LE_RICHER,PARIS,,75009.0,2 RUE RICHER,PARIS,2 RUE RICHER; 75009 PARIS,53446191800037
STARBUCKS CAFÉ - 75018 PARIS - 10 Rue NORVINS,,PARIS,,75018.0,,,,
STELLAS MARIS - 132 Rue du BAC - 75007 PARIS,STELLA_MARIS,PARIS,,75007.0,,,,79012613000018
TAM - 75006 - 43 RUE MAZARINE,TAM,,,,,,,88937450000011
TELEPHONES (Les) - 75007 PARIS - 54 Rue CLER,LES_TELEPHONES,PARIS,,75007.0,,,,90950914300022
TELEPHONES - Rue CLER - 75007 PARIS,LES_TELEPHONES,,,,,PARIS,Rue CLER,90950914300022
TERRASSE 17 - 17 Rue des BATIGNOLLES - 75017 PARIS,TERRASSE_17,,,,,PARIS,17 Rue des BATIGNOLLES,98247515400018
TERRASSE DU 7 - 2 Place de l'ÉCOLE MILITAIRE - 75007 PARIS,LA_TERRASSE_DE_L_ECOLE_MILITAIRE,,,,,PARIS,2 Place de l'ÉCOLE MILITAIRE,44348736800013
TONTON BECTON - 75015 - 19 bld lefevre,TONTON_BECTON,,,,,,,49957339200044
TOUR MAUBOURG (La) - 75007 PARIS - 58 Bld de la TOUR MAUBOURG,,PARIS,,75007.0,,,,
TRATTORIA CHIC- 92200 NEUILLY sur SEINE - 144 Avenue Charles de GAULLE,IL_GIARDINO,NEUILLY,,92200.0,,,,38211915400013
TROUVILLE - Saint Mandé,LE_TROUVILLE_SAINT_MANDE,,TROUVILLE - Saint Mandé,,1 PLACE CHARLES DIJEON,SAINT MANDÉ,1 PLACE CHARLES DIJEON; 94160 SAINT MANDÉ,81390290500021
VALOIS - PARC MONCEAU,,,VALOIS - PARC MONCEAU,,36 RUE JEAN JAURES,LEVALLOIS-PERRET,36 RUE JEAN JAURES; 92300 LEVALLOIS-PERRET,
VERSAILLES - 92130 ISSY les MOULINEAUX - 1 rue Ernest RENAND,LE_VERSAILLES,ISSY,,92130.0,1 RUE ERNEST RENAN,ISSY LES MOULINEAUX,1 RUE ERNEST RENAN; 92130 ISSY LES MOULINEAUX,49435285900016
VILLA DU MUSEE - VILLA SAINT HONORE - ENZAFAMIGLIA LOUVRE - 75001 PARIS - 196 Rue Saint-HONORÉ,ENZA_FAMIGLIA_LOUVRE,,,,,,,30109818200027
VILLA FLEURY - 92190 MEUDON - 22 Place Henri BROUSSE,VILLA_FLEURY,MEUDON,,92190.0,,,,83281305900041
VILLA SOPHIA - 53 Rue de CHAILLOT - 75016 PARIS,VILLA_SOPHIA,,,,,PARIS,53 Rue de CHAILLOT,91762338100014
WOOD - LE BISTROT À VINS  - 92400 COURBEVOIE - 35 Place des COROLLES,LE_BISTROT_A_VIN,,,,,COURBEVOIE,35 Place des COROLLES,40753333000012
ZACK RESTAURANT - 93000 SAINT DENIS - 24 Avenue des FRUITIERS,ZACK_RESTAURANT,SAINT,,93000.0,24 RUE DES FRUITIERS,LA PLAINE SAINT DENIS,24 RUE DES FRUITIERS; 93210 LA PLAINE SAINT DENIS,47786932500019
ZIG ZAG CAFE - 32 Rue des CARMES - 75005 PARIS,ZIG_ZAG_CAFE,,,,,PARIS,32 Rue des CARMES,48913649900014
ZIGZAG - 75005 PARIS - 32 rue des CARMES,ZIG_ZAG_CAFE,PARIS,,75005.0,,,,48913649900014
ASCENSION,LA_HALTE_DU_SACRE_COEUR,,,,,,,48814352000010
BRIOCHE DORÉE - 78 Av des CHAMPS ELYSÉES - 75008 PARIS,LA_BRIOCHE_DOREE_FOURNIL_DE_PIERRE,,,,,,,31890659100520
CORNER - 75016 PARIS - 68 Avenue KLEBER,CORNER_CAFE,,,,,,,85142728600014
TOURNON (LE) - Rue de TOURNON - 75006 PARIS,TOURNON,,,,,,,49424506100010
2023 - SUFFREN - 84 Av de SUFFREN - 75015 PARIS,LE_SUFFREN,,,,,,,30376703200012
